MUNICIPALIDAD,DEPARTAMENTO,ZONA GEOGRAFICA,POBLACION,PIA,PIM,AVANCE %,DEVENGADO
040115-300345: MUNICIPALIDAD DISTRITAL DE QUEQUEÑA,AREQUIPA,DISTRITO,"6,977",0,"609,547",95.10,"579,652"
020605-300129: MUNICIPALIDAD DISTRITAL DE ATAQUERO,ANCASH,DISTRITO,"1,617","270,737","707,162",95.00,"671,782"
110210-300983: MUNICIPALIDAD DISTRITAL DE SUNAMPE,ICA,DISTRITO,"33,046",0,"449,261",94.70,"425,471"
081208-300780: MUNICIPALIDAD DISTRITAL DE LUCRE,CUSCO ,DISTRITO,"5,223",0,"640,925",94.40,"604,760"
100307-300904: MUNICIPALIDAD DISTRITAL DE CHUQUIS,HUANUCO,DISTRITO,"3,123",0,"731,597",94.40,"690,379"
090721-301876: MUNICIPALIDAD DISTRITAL DE ROBLE,HUANCAVELICA,DISTRITO,"1,216",0,"526,238",94.20,"495,659"
040204-300363: MUNICIPALIDAD DISTRITAL DE MARISCAL CACERES,AREQUIPA,DISTRITO,"6,450","350,000","798,476",93.20,"743,980"
070105-300681: MUNICIPALIDAD DISTRITAL DE LA PUNTA,CALLAO,DISTRITO,"3,935","497,988","531,912",92.40,"491,331"
030605-300313: MUNICIPALIDAD DISTRITAL DE OCOBAMBA,APURIMAC,DISTRITO,"7,036",0,"960,907",92.10,"884,907"
230301-301793: MUNICIPALIDAD PROVINCIAL DE JORGE BASADRE - LOCUMBA,TACNA,PROVINCIA,"12,549",0,"168,756",92.00,"155,218"
140115-301226: MUNICIPALIDAD DISTRITAL DE ZAÑA,LAMBAYEQUE,DISTRITO,"12,497","171,000","197,865",91.70,"181,428"
210706-301658: MUNICIPALIDAD DISTRITAL DE PALCA,PUNO,DISTRITO,"1,725","19,000","513,672",91.70,"470,844"
210303-301625: MUNICIPALIDAD DISTRITAL DE AYAPATA,PUNO,DISTRITO,"9,627","5,000","728,126",91.50,"666,025"
190307-301528: MUNICIPALIDAD DISTRITAL DE VILLA RICA,PASCO,DISTRITO,"12,592",0,"358,770",91.30,"327,411"
210308-301630: MUNICIPALIDAD DISTRITAL DE OLLACHEA,PUNO,DISTRITO,"6,544",0,"653,510",91.30,"596,504"
211005-301680: MUNICIPALIDAD DISTRITAL DE SINA,PUNO,DISTRITO,"1,844","156,000","500,532",91.30,"456,945"
060417-300594: MUNICIPALIDAD DISTRITAL DE TACABAMBA,CAJAMARCA,DISTRITO,"16,668",0,"384,382",91.10,"350,097"
050401-300464: MUNICIPALIDAD PROVINCIAL DE HUANTA,AYACUCHO,PROVINCIA,"43,266","122,717","241,598",90.80,"219,373"
140112-301223: MUNICIPALIDAD DISTRITAL DE PIMENTEL,LAMBAYEQUE,DISTRITO,"52,505","56,000","21,200",90.80,"19,250"
080308-300706: MUNICIPALIDAD DISTRITAL DE PUCYURA,CUSCO ,DISTRITO,"3,166",0,"731,157",90.70,"663,005"
130403-301156: MUNICIPALIDAD DISTRITAL DE PUEBLO NUEVO,LA LIBERTAD,DISTRITO,"12,767",0,"123,258",90.60,"111,702"
200406-301561: MUNICIPALIDAD DISTRITAL DE SALITRAL,PIURA,DISTRITO,"8,527",0,"876,527",90.60,"793,733"
040208-300367: MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR,AREQUIPA,DISTRITO,"16,588",0,"321,936",90.50,"291,398"
081205-300777: MUNICIPALIDAD DISTRITAL DE CCATCA,CUSCO ,DISTRITO,"15,084",0,"115,215",90.10,"103,848"
081202-300774: MUNICIPALIDAD DISTRITAL DE ANDAHUAYLILLAS,CUSCO ,DISTRITO,"6,938","1,102,500","3,546,840",89.60,"3,177,584"
040704-300426: MUNICIPALIDAD DISTRITAL DE ISLAY,AREQUIPA,DISTRITO,"5,202",0,"2,845,663",88.30,"2,513,391"
090413-300841: MUNICIPALIDAD DISTRITAL DE TICRAPO,HUANCAVELICA,DISTRITO,"1,567",0,"1,452,505",88.10,"1,279,402"
090208-300816: MUNICIPALIDAD DISTRITAL DE ROSARIO,HUANCAVELICA,DISTRITO,"4,062","285,139","1,084,968",88.00,"955,209"
022007-300249: MUNICIPALIDAD DISTRITAL DE SHUPLUY,ANCASH,DISTRITO,"1,904",0,"1,657,587",86.90,"1,440,849"
130903-301191: MUNICIPALIDAD DISTRITAL DE COCHORCO,LA LIBERTAD,DISTRITO,"10,054",0,"807,846",86.90,"702,032"
210601-301645: MUNICIPALIDAD PROVINCIAL DE HUANCANE,PUNO,PROVINCIA,"58,957","1,003,120","353,173",86.80,"306,611"
030406-300291: MUNICIPALIDAD DISTRITAL DE COTARUSE,APURIMAC,DISTRITO,"2,491",0,"1,001,765",86.60,"867,511"
