MUNICIPALIDAD,DEPARTAMENTO,ZONA GEOGRAFICA,POBLACION,PIA,PIM,AVANCE %,DEVENGADO
120304-301049: MUNICIPALIDAD DISTRITAL DE SAN LUIS DE SHUARO,JUNIN,DISTRITO,"3,976",0,"10,000",100.00,"10,000"
120416-301067: MUNICIPALIDAD DISTRITAL DE MASMA,JUNIN,DISTRITO,"1,774",0,"30,282",100.00,"30,280"
120424-301075: MUNICIPALIDAD DISTRITAL DE PANCAN,JUNIN,DISTRITO,"1,264",0,"7,800",100.00,"7,800"
120425-301076: MUNICIPALIDAD DISTRITAL DE PARCO,JUNIN,DISTRITO,"1,152",0,"12,200",100.00,"12,200"
120427-301078: MUNICIPALIDAD DISTRITAL DE RICRAN,JUNIN,DISTRITO,"1,236",0,"4,600",100.00,"4,600"
120428-301079: MUNICIPALIDAD DISTRITAL DE SAN LORENZO,JUNIN,DISTRITO,"2,808",0,"5,000",100.00,"5,000"
120709-301106: MUNICIPALIDAD DISTRITAL DE TAPO,JUNIN,DISTRITO,"4,470",0,"25,000",100.00,"25,000"
120907-301124: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE JARPA,JUNIN,DISTRITO,"2,598",0,"26,200",100.00,"26,200"
130206-301145: MUNICIPALIDAD DISTRITAL DE RAZURI,LA LIBERTAD,DISTRITO,"9,415","660,000","18,500",100.00,"18,500"
130502-301158: MUNICIPALIDAD DISTRITAL DE CALAMARCA,LA LIBERTAD,DISTRITO,"5,070",0,"10,000",100.00,"10,000"
130504-301160: MUNICIPALIDAD DISTRITAL DE HUASO,LA LIBERTAD,DISTRITO,"6,239",0,"28,000",100.00,"28,000"
131002-301198: MUNICIPALIDAD DISTRITAL DE ANGASMARCA,LA LIBERTAD,DISTRITO,"4,995",0,"35,100",100.00,"35,100"
140110-301221: MUNICIPALIDAD DISTRITAL DE OYOTUN,LAMBAYEQUE,DISTRITO,"8,359",0,"18,000",100.00,"18,000"
150407-301310: MUNICIPALIDAD DISTRITAL DE SANTA ROSA DE QUIVES,LIMA,DISTRITO,"5,882","6,750","6,750",100.00,"6,750"
150723-301361: MUNICIPALIDAD DISTRITAL DE SAN MATEO DE OTAO,LIMA,DISTRITO,"1,343",0,"34,465",100.00,"34,464"
150729-301367: MUNICIPALIDAD DISTRITAL DE SANTIAGO DE ANCHUCAYA,LIMA,DISTRITO,287,0,"280,061",100.00,"280,061"
150808-301378: MUNICIPALIDAD DISTRITAL DE PACCHO,LIMA,DISTRITO,"1,502","123,652","10,000",100.00,"10,000"
151016-301404: MUNICIPALIDAD DISTRITAL DE HUANTAN,LIMA,DISTRITO,943,"18,578","183,960",100.00,"183,960"
160506-301459: MUNICIPALIDAD DISTRITAL DE PUINAHUA,LORETO,DISTRITO,"6,068",0,"15,000",100.00,"15,000"
190105-301505: MUNICIPALIDAD DISTRITAL DE NINACACA,PASCO,DISTRITO,"1,377",0,"26,000",100.00,"26,000"
190107-301507: MUNICIPALIDAD DISTRITAL DE PAUCARTAMBO,PASCO,DISTRITO,"8,390",0,"26,861",100.00,"26,860"
190111-301511: MUNICIPALIDAD DISTRITAL DE TINYAHUARCO,PASCO,DISTRITO,"5,161",0,"10,019",100.00,"10,019"
200108-301533: MUNICIPALIDAD DISTRITAL DE EL TALLAN,PIURA,DISTRITO,"5,387",0,"9,373",100.00,"9,373"
200402-301557: MUNICIPALIDAD DISTRITAL DE BUENOS AIRES,PIURA,DISTRITO,"9,410",0,"68,000",100.00,"68,000"
200407-301562: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE BIGOTE,PIURA,DISTRITO,"6,433","553,741","7,000",100.00,"7,000"
200802-301588: MUNICIPALIDAD DISTRITAL DE BELLAVISTA DE LA UNION,PIURA,DISTRITO,"5,210","30,000","14,000",100.00,"14,000"
210108-301600: MUNICIPALIDAD DISTRITAL HUATA,PUNO,DISTRITO,"2,904","25,000","22,636",100.00,"22,636"
210113-301605: MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,PUNO,DISTRITO,"2,697","21,000","1,255",100.00,"1,255"
210114-301606: MUNICIPALIDAD DISTRITAL DE TIQUILLACA,PUNO,DISTRITO,"1,620","10,000","4,385",100.00,"4,385"
210304-301626: MUNICIPALIDAD DISTRITAL DE COASA,PUNO,DISTRITO,"5,932",0,"62,709",100.00,"62,708"
210309-301631: MUNICIPALIDAD DISTRITAL DE SAN GABAN,PUNO,DISTRITO,"8,135",0,"13,500",100.00,"13,500"
210403-301635: MUNICIPALIDAD DISTRITAL DE HUACULLANI,PUNO,DISTRITO,"8,634","35,397","16,540",100.00,"16,540"
210505-301644: MUNICIPALIDAD DISTRITAL DE CONDURIRI,PUNO,DISTRITO,"2,419","20,000","23,514",100.00,"23,514"
210702-301654: MUNICIPALIDAD DISTRITAL DE CABANILLA,PUNO,DISTRITO,"5,955","18,000","3,388",100.00,"3,387"
210708-301660: MUNICIPALIDAD DISTRITAL DE PUCARA,PUNO,DISTRITO,"5,442","42,000","3,000",100.00,"3,000"
210804-301666: MUNICIPALIDAD DISTRITAL DE LLALLI,PUNO,DISTRITO,"2,513",0,"20,000",100.00,"20,000"
211103-301683: MUNICIPALIDAD DISTRITAL DE CABANILLAS,PUNO,DISTRITO,"4,546","20,857","3,682",100.00,"3,681"
211302-301695: MUNICIPALIDAD DISTRITAL DE ANAPIA,PUNO,DISTRITO,"1,743","17,700","6,028",100.00,"6,028"
220402-301719: MUNICIPALIDAD DISTRITAL DE ALTO SAPOSOA,SAN MARTIN,DISTRITO,"5,374",0,"10,000",100.00,"10,000"
220505-301728: MUNICIPALIDAD DISTRITAL DE CUÑUMBUQUI,SAN MARTIN,DISTRITO,"3,100",0,"30,000",100.00,"30,000"
230109-301786: MUNICIPALIDAD DISTRITAL DE SAMA,TACNA,DISTRITO,"3,686",0,"73,800",100.00,"73,800"
240203-301843: MUNICIPALIDAD DISTRITAL CANOAS DE PUNTA SAL,TUMBES,DISTRITO,"7,620",0,"20,000",100.00,"20,000"
250202-301823: MUNICIPALIDAD DISTRITAL DE SEPAHUA,UCAYALI,DISTRITO,"8,264",0,"27,000",100.00,"27,000"
250305-301865: MUNICIPALIDAD DISTRITAL DE ALEXANDER VON HUMBOLDT,UCAYALI,DISTRITO,"6,159",0,"35,100",100.00,"35,100"
030415-300300: MUNICIPALIDAD DISTRITAL DE TINTAY,APURIMAC,DISTRITO,"2,255","123,396","52,996",99.90,"52,953"
210305-301627: MUNICIPALIDAD DISTRITAL DE CORANI,PUNO,DISTRITO,"4,735","38,980","19,071",99.90,"19,060"
160302-301446: MUNICIPALIDAD DISTRITAL DE PARINARI,LORETO,DISTRITO,"7,268",0,"46,139",99.80,"46,068"
190204-301517: MUNICIPALIDAD DISTRITAL DE PAUCAR,PASCO,DISTRITO,"1,385",0,"42,769",99.80,"42,700"
030405-300290: MUNICIPALIDAD DISTRITAL DE COLCABAMBA,APURIMAC,DISTRITO,712,0,"142,631",99.00,"141,265"
080908-300755: MUNICIPALIDAD DISTRITAL DE SANTA TERESA,CUSCO ,DISTRITO,"6,945",0,"50,847",98.90,"50,262"
150732-301370: MUNICIPALIDAD DISTRITAL DE SURCO,LIMA,DISTRITO,"1,379",0,"59,490",98.80,"58,790"
150903-301385: MUNICIPALIDAD DISTRITAL DE CAUJUL,LIMA,DISTRITO,524,"75,000","211,732",98.80,"209,236"
210203-301610: MUNICIPALIDAD DISTRITAL DE ARAPA,PUNO,DISTRITO,"7,130","20,000","84,580",98.80,"83,597"
180106-301486: MUNICIPALIDAD DISTRITAL DE TORATA,MOQUEGUA,DISTRITO,"4,182",0,"62,828",98.60,"61,942"
090116-300807: MUNICIPALIDAD DISTRITAL DE VILCA,HUANCAVELICA,DISTRITO,"1,834",0,"90,100",98.40,"88,650"
060306-300571: MUNICIPALIDAD DISTRITAL DE JOSE GALVEZ,CAJAMARCA,DISTRITO,"2,751",0,"81,150",98.30,"79,768"
210504-301643: MUNICIPALIDAD DISTRITAL DE SANTA ROSA,PUNO,DISTRITO,"3,220","18,500","87,907",98.30,"86,412"
030609-301877: MUNICIPALIDAD DISTRITAL DE ROCCHACC,APURIMAC,DISTRITO,"2,787",0,"38,900",98.10,"38,150"
040507-300401: MUNICIPALIDAD DISTRITAL DE HUAMBO,AREQUIPA,DISTRITO,660,0,"112,572",97.70,"110,028"
030413-300298: MUNICIPALIDAD DISTRITAL DE SORAYA,APURIMAC,DISTRITO,736,0,"129,183",97.50,"125,899"
010120-300020: MUNICIPALIDAD DISTRITAL DE SOLOCO,AMAZONAS,DISTRITO,"1,261",0,"28,817",97.40,"28,066"
020907-300149: MUNICIPALIDAD DISTRITAL DE YUPAN,ANCASH,DISTRITO,741,0,"196,763",97.40,"191,563"
220908-301766: MUNICIPALIDAD DISTRITAL DE JUAN GUERRA,SAN MARTIN,DISTRITO,"4,147","150,000","18,422",97.30,"17,919"
090510-300851: MUNICIPALIDAD DISTRITAL DE PACHAMARCA,HUANCAVELICA,DISTRITO,"1,861",0,"89,423",97.20,"86,923"
101107-300959: MUNICIPALIDAD DISTRITAL DE PAMPAMARCA,HUANUCO,DISTRITO,996,0,"428,000",97.10,"415,406"
130608-301166: MUNICIPALIDAD DISTRITAL DE MACHE,LA LIBERTAD,DISTRITO,"2,869","150,000","10,300",97.10,"10,000"
180203-301489: MUNICIPALIDAD DISTRITAL DE COALAQUE,MOQUEGUA,DISTRITO,948,0,"336,908",97.10,"327,058"
211102-301682: MUNICIPALIDAD DISTRITAL DE CABANA,PUNO,DISTRITO,"5,495",0,"25,382",96.90,"24,595"
211207-301691: MUNICIPALIDAD DISTRITAL DE SAN JUAN DEL ORO,PUNO,DISTRITO,"3,235","10,000","35,438",96.70,"34,285"
090723-301883: MUNICIPALIDAD DISTRITAL DE SANTIAGO DE TUCUMA,HUANCAVELICA,DISTRITO,"1,585",0,"83,704",96.40,"80,730"
220508-301731: MUNICIPALIDAD DISTRITAL DE SAN ROQUE DE CUMBAZA,SAN MARTIN,DISTRITO,"1,715",0,"72,942",96.40,"70,341"
120215-301045: MUNICIPALIDAD DISTRITAL DE SANTA ROSA DE OCOPA,JUNIN,DISTRITO,"2,092",0,"68,520",95.90,"65,736"
250106-301821: MUNICIPALIDAD DISTRITAL DE NUEVA REQUENA,UCAYALI,DISTRITO,"5,742",0,"35,187",95.90,"33,731"
040811-300439: MUNICIPALIDAD DISTRITAL DE TORO,AREQUIPA,DISTRITO,511,0,"127,009",95.60,"121,443"
061105-300653: MUNICIPALIDAD DISTRITAL DE EL PRADO,CAJAMARCA,DISTRITO,"1,657",0,"16,861",94.90,"16,000"
120411-301062: MUNICIPALIDAD DISTRITAL DE JANJAILLO,JUNIN,DISTRITO,557,0,"243,968",94.90,"231,424"
40302-300369: MUNICIPALIDAD DISTRITAL DE ACARI,AREQUIPA,DISTRITO,"5,172",0,"42,829",94.50,"40,481"
050909-300526: MUNICIPALIDAD DISTRITAL DE SAN SALVADOR DE QUIJE,AYACUCHO,DISTRITO,936,0,"417,734",93.80,"391,880"
100322-300910: MUNICIPALIDAD DISTRITAL DE SILLAPATA,HUANUCO,DISTRITO,"1,662",0,"16,000",93.80,"15,000"
010104-300004: MUNICIPALIDAD DISTRITAL DE CHETO,AMAZONAS,DISTRITO,"1,180",0,"15,000",93.30,"14,000"
100603-300929: MUNICIPALIDAD DISTRITAL DE HERMILIO VALDIZAN,HUANUCO,DISTRITO,"3,691",0,"33,840",93.20,"31,539"
120429-301080: MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE CHUNAN,JUNIN,DISTRITO,675,0,"271,338",93.20,"252,903"
021707-300220: MUNICIPALIDAD DISTRITAL DE PAMPAS CHICO,ANCASH,DISTRITO,854,0,"154,709",93.10,"144,021"
030703-300319: MUNICIPALIDAD DISTRITAL DE GAMARRA,APURIMAC,DISTRITO,"2,696",0,"47,675",92.70,"44,174"
30302-300280: MUNICIPALIDAD DISTRITAL DE EL ORO,APURIMAC,DISTRITO,595,0,"214,763",92.50,"198,575"
150127-301276: MUNICIPALIDAD DISTRITAL DE PUNTA NEGRA,LIMA,DISTRITO,"8,243","4,000","15,754",92.50,"14,575"
060419-300596: MUNICIPALIDAD DISTRITAL DE CHALAMARCA,CAJAMARCA,DISTRITO,"9,670",0,"65,000",92.30,"60,000"
120426-301077: MUNICIPALIDAD DISTRITAL DE POMACANCHA,JUNIN,DISTRITO,"1,382",0,"13,000",92.30,"12,000"
021303-300183: MUNICIPALIDAD DISTRITAL DE ELEAZAR GUZMAN BARRON,ANCASH,DISTRITO,"1,421",0,"56,921",90.50,"51,500"
080506-300721: MUNICIPALIDAD DISTRITAL DE PAMPAMARCA,CUSCO ,DISTRITO,"1,889",0,"30,369",90.40,"27,458"
120706-301103: MUNICIPALIDAD DISTRITAL DE PALCA,JUNIN,DISTRITO,"5,897",0,"48,596",90.20,"43,850"
010206-300027: MUNICIPALIDAD DISTRITAL DE LA PECA,AMAZONAS,DISTRITO,"6,535",0,"208,075",89.60,"186,512"
080402-300709: MUNICIPALIDAD DISTRITAL DE COYA,CUSCO ,DISTRITO,"3,645","32,325","188,718",89.10,"168,078"
050613-300491: MUNICIPALIDAD DISTRITAL DE OTOCA,AYACUCHO,DISTRITO,"1,848",0,"115,000",88.30,"101,547"
020603-300127: MUNICIPALIDAD DISTRITAL DE AMASHCA,ANCASH,DISTRITO,"1,520",0,"138,471",87.20,"120,705"
090720-301861: MUNICIPALIDAD DISTRITAL DE ANDAYMARCA,HUANCAVELICA,DISTRITO,"2,662",0,"482,372",87.00,"419,618"
131203-301211: MUNICIPALIDAD DISTRITAL DE GUADALUPITO,LA LIBERTAD,DISTRITO,"7,663","400,000","388,591",86.50,"336,274"
220803-301752: MUNICIPALIDAD DISTRITAL DE ELIAS SOPLIN VARGAS,SAN MARTIN,DISTRITO,"20,862",0,"37,554",86.40,"32,450"
021307-300187: MUNICIPALIDAD DISTRITAL DE LUCMA,ANCASH,DISTRITO,"2,870","513,123","268,406",86.10,"231,077"
120704-301101: MUNICIPALIDAD DISTRITAL DE HUASAHUASI,JUNIN,DISTRITO,"9,768",0,"370,665",86.00,"318,949"
010707-300084: MUNICIPALIDAD DISTRITAL DE YAMON,AMAZONAS,DISTRITO,"3,245",0,"258,882",85.60,"221,542"
020204-300100: MUNICIPALIDAD DISTRITAL DE LA MERCED,ANCASH,DISTRITO,"1,517",0,"204,851",85.40,"174,905"
120401-301052: MUNICIPALIDAD PROVINCIAL DE JAUJA,JUNIN,PROVINCIA,"19,948","30,000","45,186",85.30,"38,535"
120602-301091: MUNICIPALIDAD DISTRITAL DE COVIRIALI,JUNIN,DISTRITO,"6,573",0,"261,461",85.20,"222,864"
021906-300238: MUNICIPALIDAD DISTRITAL DE HUAYLLABAMBA,ANCASH,DISTRITO,"3,701",0,"102,132",84.70,"86,511"
040117-300347: MUNICIPALIDAD DISTRITAL DE SACHACA,AREQUIPA,DISTRITO,"27,038","5,000","73,040",84.70,"61,842"
060903-300637: MUNICIPALIDAD DISTRITAL DE HUARANGO,CAJAMARCA,DISTRITO,"18,607",0,"58,600",84.60,"49,600"
061303-300668: MUNICIPALIDAD DISTRITAL DE CATACHE,CAJAMARCA,DISTRITO,"9,870","95,086","202,121",84.60,"171,086"
120403-301054: MUNICIPALIDAD DISTRITAL DE APATA,JUNIN,DISTRITO,"4,586",0,"186,679",84.60,"157,983"
160605-301469: MUNICIPALIDAD DISTRITAL DE SARAYACU,LORETO,DISTRITO,"16,768",0,"34,240",83.80,"28,700"
120806-301113: MUNICIPALIDAD DISTRITAL DE PACCHA,JUNIN,DISTRITO,"1,644",0,"171,053",83.50,"142,859"
021405-300193: MUNICIPALIDAD DISTRITAL DE COCHAS,ANCASH,DISTRITO,"1,566",0,"476,204",83.20,"395,996"
080903-300750: MUNICIPALIDAD DISTRITAL DE HUAYOPATA,CUSCO ,DISTRITO,"5,487","460,000","350,648",83.20,"291,665"
020901-300143: MUNICIPALIDAD PROVINCIAL DE CORONGO,ANCASH,PROVINCIA,"8,017",0,"130,258",83.10,"108,202"
100313-300906: MUNICIPALIDAD DISTRITAL DE PACHAS,HUANUCO,DISTRITO,"4,821",0,"439,104",82.80,"363,553"
060404-300581: MUNICIPALIDAD DISTRITAL DE CHIGUIRIP,CAJAMARCA,DISTRITO,"3,628",0,"212,026",82.50,"175,009"
220906-301764: MUNICIPALIDAD DISTRITAL DE EL PORVENIR,SAN MARTIN,DISTRITO,"2,551",0,"304,572",82.40,"250,947"
130906-301194: MUNICIPALIDAD DISTRITAL DE SANAGORAN,LA LIBERTAD,DISTRITO,"14,881","9,900","18,515",81.40,"15,064"
150502-301312: MUNICIPALIDAD DISTRITAL DE ASIA,LIMA,DISTRITO,"10,686","100,000","346,897",79.50,"275,834"
150716-301354: MUNICIPALIDAD DISTRITAL DE SAN ANTONIO,LIMA,DISTRITO,"5,948",0,"543,034",79.00,"429,254"
020303-300104: MUNICIPALIDAD DISTRITAL DE CHACCHO,ANCASH,DISTRITO,"1,346","457,677","722,428",78.60,"567,627"
140203-301234: MUNICIPALIDAD DISTRITAL DE INCAHUASI,LAMBAYEQUE,DISTRITO,"15,112",0,"262,791",77.70,"204,315"
080306-300704: MUNICIPALIDAD DISTRITAL DE LIMATAMBO,CUSCO ,DISTRITO,"7,754","550,000","938,324",76.40,"717,305"
150803-301373: MUNICIPALIDAD DISTRITAL DE CALETA DE CARQUIN,LIMA,DISTRITO,"8,491",0,"588,557",75.10,"441,712"
060802-300624: MUNICIPALIDAD DISTRITAL DE BELLAVISTA,CAJAMARCA,DISTRITO,"16,370",0,"332,628",74.10,"246,367"
120201-301031: MUNICIPALIDAD PROVINCIAL DE CONCEPCION,JUNIN,PROVINCIA,"16,806","500,000","150,000",72.60,"108,899"
020510-300119: MUNICIPALIDAD DISTRITAL DE HUAYLLACAYAN,ANCASH,DISTRITO,"1,365",0,"554,808",71.50,"396,429"
050411-301866: MUNICIPALIDAD DISTRITAL DE PUCACOLPA,AYACUCHO,DISTRITO,"2,299",0,"605,000",70.80,"428,323"
110302-300986: MUNICIPALIDAD DISTRITAL DE CHANGUILLO,ICA,DISTRITO,"2,175",0,"613,295",69.50,"426,150"
140301-301238: MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE,LAMBAYEQUE,PROVINCIA,"79,845","107,548","72,737",69.20,"50,368"
060304-300569: MUNICIPALIDAD DISTRITAL DE HUASMIN,CAJAMARCA,DISTRITO,"10,885",0,"425,000",68.60,"291,610"
040307-300374: MUNICIPALIDAD DISTRITAL DE CHALA,AREQUIPA,DISTRITO,"10,368","900,001","404,237",68.40,"276,428"
110211-300984: MUNICIPALIDAD DISTRITAL DE TAMBO DE MORA,ICA,DISTRITO,"6,574",0,"548,129",67.80,"371,700"
061201-300662: MUNICIPALIDAD PROVINCIAL DE SAN PABLO,CAJAMARCA,PROVINCIA,"13,460",0,"223,300",66.90,"149,357"
210402-301634: MUNICIPALIDAD DISTRITAL DE DESAGUADERO,PUNO,DISTRITO,"13,132","710,000","448,636",66.70,"299,220"
060612-300616: MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE LA CAPILLA,CAJAMARCA,DISTRITO,"5,015","10,000","689,702",66.10,"455,860"
150107-301256: MUNICIPALIDAD DISTRITAL DE CHACLACAYO,LIMA,DISTRITO,"44,157","108,800","199,679",66.10,"131,898"
210210-301617: MUNICIPALIDAD DISTRITAL DE SAMAN,PUNO,DISTRITO,"9,231",0,"643,423",66.10,"425,484"
021305-300185: MUNICIPALIDAD DISTRITAL DE LLAMA,ANCASH,DISTRITO,"1,015",0,"753,998",64.10,"483,075"
081305-300789: MUNICIPALIDAD DISTRITAL DE MARAS,CUSCO ,DISTRITO,"6,769","1,603,897","932,030",64.00,"596,684"
090206-300814: MUNICIPALIDAD DISTRITAL DE PAUCARA,HUANCAVELICA,DISTRITO,"9,117","1,400,000","2,361,217",60.00,"1,416,258"
210209-301616: MUNICIPALIDAD DISTRITAL DE POTONI,PUNO,DISTRITO,"3,637","540,000","1,459,096",59.90,"859,924"
120701-301098: MUNICIPALIDAD PROVINCIAL DE TARMA,JUNIN,PROVINCIA,"50,544","70,000","113,797",58.10,"66,133"
081005-300762: MUNICIPALIDAD DISTRITAL DE HUANOQUITE,CUSCO ,DISTRITO,"5,078","150,000","1,378,225",57.40,"790,774"
050601-300479: MUNICIPALIDAD PROVINCIAL DE LUCANAS - PUQUIO,AYACUCHO,PROVINCIA,"51,838","450,000","230,127",57.20,"131,590"
080704-300735: MUNICIPALIDAD DISTRITAL DE COLQUEMARCA,CUSCO ,DISTRITO,"7,110","600,000","3,310,881",56.90,"1,885,107"
040702-300424: MUNICIPALIDAD DISTRITAL DE COCACHACRA,AREQUIPA,DISTRITO,"8,363","52,000","1,834,892",56.70,"1,041,050"
150142-301291: MUNICIPALIDAD DISTRITAL DE VILLA EL SALVADOR,LIMA,DISTRITO,"423,887","52,109","52,192",56.10,"29,294"
200201-301538: MUNICIPALIDAD PROVINCIAL DE AYABACA,PIURA,PROVINCIA,"30,852",0,"684,740",53.00,"363,010"
060109-300557: MUNICIPALIDAD DISTRITAL DE MAGDALENA,CAJAMARCA,DISTRITO,"8,809",0,"1,120,982",52.60,"589,796"
081105-300771: MUNICIPALIDAD DISTRITAL DE HUANCARANI,CUSCO ,DISTRITO,"7,866","700,000","1,804,792",52.50,"947,540"
080916-301894: MUNICIPALIDAD DISTRITAL DE CIELO PUNCO,CUSCO ,DISTRITO,"8,070",0,"1,045,783",49.70,"519,837"
030602-300310: MUNICIPALIDAD DISTRITAL DE ANCO HUALLO,APURIMAC,DISTRITO,"10,695",0,"781,485",49.50,"387,112"
080706-300737: MUNICIPALIDAD DISTRITAL DE LLUSCO,CUSCO ,DISTRITO,"4,322",0,"4,185,457",48.60,"2,034,159"
120810-301117: MUNICIPALIDAD DISTRITAL DE YAULI,JUNIN,DISTRITO,"5,471",0,"2,854,459",46.60,"1,330,126"
080918-301902: MUNICIPALIDAD DISTRITAL DE UNION ASHANINKA,CUSCO ,DISTRITO,"15,264",0,"533,373",43.50,"231,869"
040111-300341: MUNICIPALIDAD DISTRITAL DE MOLLEBAYA,AREQUIPA,DISTRITO,"6,998","200,000","2,286,054",41.00,"937,111"
080106-300689: MUNICIPALIDAD DISTRITAL DE SANTIAGO,CUSCO ,DISTRITO,"103,817","50,994","288,847",40.90,"118,202"
110504-300998: MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,ICA,DISTRITO,"14,544","28,000","1,169,841",39.90,"466,777"
040124-300354: MUNICIPALIDAD DISTRITAL DE UCHUMAYO,AREQUIPA,DISTRITO,"16,195",0,"1,813,092",38.60,"699,592"
060703-300622: MUNICIPALIDAD DISTRITAL DE HUALGAYOC,CAJAMARCA,DISTRITO,"16,252",0,"1,038,723",35.90,"372,810"
150109-301258: MUNICIPALIDAD DISTRITAL DE CIENEGUILLA,LIMA,DISTRITO,"39,055","2,139,346","9,114,818",35.90,"3,272,841"
130901-301189: MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO,LA LIBERTAD,PROVINCIA,"79,944","3,063,261","543,965",35.80,"194,960"
130908-301196: MUNICIPALIDAD DISTRITAL DE SARTIMBAMBA,LA LIBERTAD,DISTRITO,"14,367",0,"2,073,901",35.70,"740,319"
060906-300640: MUNICIPALIDAD DISTRITAL DE SAN JOSE DE LOURDES,CAJAMARCA,DISTRITO,"19,890","400,000","3,320,486",34.50,"1,145,527"
210607-301651: MUNICIPALIDAD DISTRITAL DE TARACO,PUNO,DISTRITO,"13,536","292,286","2,779,039",32.70,"909,907"
230104-301781: MUNICIPALIDAD DISTRITAL DE CIUDAD NUEVA,TACNA,DISTRITO,"32,834","30,890","2,198,467",32.40,"712,553"
040128-300358: MUNICIPALIDAD DISTRITAL DE YURA,AREQUIPA,DISTRITO,"43,033","27,000","1,585,366",32.00,"506,633"
211210-301841: MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE PUTINA PUNCO,PUNO,DISTRITO,"10,233","1,098,000","1,543,771",28.20,"435,618"
110305-300989: MUNICIPALIDAD DISTRITAL DE VISTA ALEGRE,ICA,DISTRITO,"24,894",0,"17,392,042",23.70,"4,115,124"
240302-301813: MUNICIPALIDAD DISTRITAL DE AGUAS VERDES,TUMBES,DISTRITO,"19,195","5,000","6,710,272",22.40,"1,505,322"
021014-300163: MUNICIPALIDAD DISTRITAL DE SAN MARCOS,ANCASH,DISTRITO,"19,498","5,331,665","107,914,718",21.60,"23,333,721"
110301-300985: MUNICIPALIDAD PROVINCIAL DE NASCA,ICA,PROVINCIA,"27,772",0,"6,905,579",20.00,"1,377,870"
060201-300562: MUNICIPALIDAD PROVINCIAL DE CAJABAMBA,CAJAMARCA,PROVINCIA,"34,231","196,150","1,262,274",17.60,"222,171"
090117-300808: MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA,DISTRITO,"19,892",0,"1,979,122",5.80,"115,069"
120801-301108: MUNICIPALIDAD PROVINCIAL DE YAULI - LA OROYA,JUNIN,PROVINCIA,"13,700","19,800","3,528,721",4.10,"144,402"
131101-301205: MUNICIPALIDAD PROVINCIAL GRAN CHIMU - CASCAS,LA LIBERTAD,PROVINCIA,"14,344","389,884","4,904,771",0.30,"16,948"
220101-301701: MUNICIPALIDAD PROVINCIAL DE MOYOBAMBA,SAN MARTIN,PROVINCIA,"133,631",0,"175,000",0.00,0
010106-300006: MUNICIPALIDAD DISTRITAL DE CHUQUIBAMBA,AMAZONAS,DISTRITO,702,0,"6,000",100.00,"6,000"
010111-300011: MUNICIPALIDAD DISTRITAL DE LEVANTO,AMAZONAS,DISTRITO,803,0,"50,000",100.00,"50,000"
010117-300017: MUNICIPALIDAD DISTRITAL DE QUINJALCA,AMAZONAS,DISTRITO,792,0,"15,000",100.00,"15,000"
010119-300019: MUNICIPALIDAD DISTRITAL DE SAN ISIDRO DE MAINO,AMAZONAS,DISTRITO,590,0,"36,530",100.00,"36,529"
010516-300058: MUNICIPALIDAD DISTRITAL DE SAN CRISTOBAL,AMAZONAS,DISTRITO,550,0,"35,000",100.00,"35,000"
010517-300059: MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DEL YESO,AMAZONAS,DISTRITO,732,0,"12,000",100.00,"12,000"
030710-300326: MUNICIPALIDAD DISTRITAL DE SANTA ROSA,APURIMAC,DISTRITO,562,0,"44,257",100.00,"44,257"
030713-300329: MUNICIPALIDAD DISTRITAL DE VIRUNDO,APURIMAC,DISTRITO,643,0,"15,254",100.00,"15,254"
040406-300386: MUNICIPALIDAD DISTRITAL DE CHOCO,AREQUIPA,DISTRITO,666,0,"15,000",100.00,"15,000"
040411-300391: MUNICIPALIDAD DISTRITAL DE TIPAN,AREQUIPA,DISTRITO,429,0,"11,000",100.00,"11,000"
051003-300531: MUNICIPALIDAD DISTRITAL DE APONGO,AYACUCHO,DISTRITO,565,0,"2,080",100.00,"2,080"
060305-300570: MUNICIPALIDAD DISTRITAL DE JORGE CHAVEZ,CAJAMARCA,DISTRITO,461,0,"1,058",100.00,"1,058"
090410-300838: MUNICIPALIDAD DISTRITAL DE SAN JUAN,HUANCAVELICA,DISTRITO,769,0,"10,000",100.00,"10,000"
090615-300866: MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE CAPILLAS,HUANCAVELICA,DISTRITO,751,0,"19,000",100.00,"19,000"
120105-301005: MUNICIPALIDAD DISTRITAL DE CHACAPAMPA,JUNIN,DISTRITO,941,0,"3,420",100.00,"3,420"
150404-301307: MUNICIPALIDAD DISTRITAL DE HUAROS,LIMA,DISTRITO,761,"60,000","67,689",100.00,"67,675"
150612-301338: MUNICIPALIDAD DISTRITAL VEINTISIETE DE NOVIEMBRE,LIMA,DISTRITO,389,"34,000","61,443",100.00,"61,442"
